;;;;
bewolkt. Doeken open. 4500 lux;;;;
;open;wit;transparant;open
687;5,84674E-02;7,43154E-03;5,19973E-02;5,98765E-02
688;5,76331E-02;7,37174E-03;5,08211E-02;5,87323E-02
689;5,81564E-02;7,43895E-03;5,17127E-02;5,97780E-02
690;5,99769E-02;7,77034E-03;5,31172E-02;6,08809E-02
691;5,96828E-02;7,89853E-03;5,30042E-02;6,06769E-02
692;5,82332E-02;7,82348E-03;5,20868E-02;6,00242E-02
693;5,86773E-02;7,87722E-03;5,17085E-02;5,88078E-02
694;5,70971E-02;7,97474E-03;5,06945E-02;5,79953E-02
695;5,90478E-02;8,35563E-03;5,31175E-02;6,05622E-02
696;5,99323E-02;8,57581E-03;5,40674E-02;6,04041E-02
697;6,00938E-02;8,91533E-03;5,45934E-02;6,15196E-02
698;5,92790E-02;8,99107E-03;5,33469E-02;6,06097E-02
699;5,77043E-02;8,76115E-03;5,18679E-02;5,86682E-02
700;5,73297E-02;8,90814E-03;5,09764E-02;5,84633E-02
701;5,62399E-02;9,06819E-03;5,04087E-02;5,66674E-02
702;5,76249E-02;9,38620E-03;5,08416E-02;5,87655E-02
703;5,80962E-02;9,72932E-03;5,28065E-02;5,92706E-02
704;5,92465E-02;1,00480E-02;5,26753E-02;6,05391E-02
705;5,83658E-02;1,03758E-02;5,36466E-02;6,10820E-02
706;5,87196E-02;1,06206E-02;5,36837E-02;6,03245E-02
707;5,98494E-02;1,06374E-02;5,34549E-02;6,15063E-02
708;6,05712E-02;1,11152E-02;5,35861E-02;6,08607E-02
709;6,07015E-02;1,15038E-02;5,37587E-02;6,04929E-02
710;5,98629E-02;1,18373E-02;5,40942E-02;6,15556E-02
711;6,04853E-02;1,19031E-02;5,49343E-02;6,22361E-02
712;6,03134E-02;1,21966E-02;5,35771E-02;6,04561E-02
713;5,97823E-02;1,21940E-02;5,36524E-02;6,04019E-02
714;5,64506E-02;1,21627E-02;5,16888E-02;5,83348E-02
715;5,38196E-02;1,14295E-02;4,81753E-02;5,55147E-02
