,,,,,,
,,,,,,
,,,,,,
Name,#5,#6,#1,Kas 4,#3,#4
Correction,UV,UV,UV,UV,UV,UV
Date,03/02/2017,03/02/2017,03/02/2017,03/02/2017,03/02/2017,03/02/2017
564,1.45487E-03,9.92360E-02,1.79396E-03,7.94794E-03,9.80992E-03,2.25243E-02
565,1.44722E-03,9.86459E-02,1.73481E-03,7.88389E-03,9.71313E-03,2.23063E-02
566,1.39044E-03,9.85680E-02,1.70609E-03,7.88073E-03,9.58146E-03,2.20286E-02
567,1.42664E-03,9.85444E-02,1.69616E-03,7.86103E-03,9.43574E-03,2.17887E-02
568,1.33528E-03,9.82432E-02,1.67790E-03,7.80746E-03,9.23029E-03,2.13687E-02
569,1.34722E-03,9.79806E-02,1.58074E-03,7.78160E-03,9.05969E-03,2.09305E-02
570,1.34993E-03,9.78434E-02,1.60605E-03,7.76222E-03,8.93263E-03,2.07669E-02
571,1.36703E-03,9.74194E-02,1.63747E-03,7.71266E-03,8.86314E-03,2.06098E-02
572,1.44635E-03,9.70014E-02,1.77452E-03,7.68730E-03,8.85366E-03,2.05245E-02
573,1.53178E-03,9.66824E-02,1.83893E-03,7.68467E-03,8.78161E-03,2.03586E-02
574,1.89100E-03,9.65349E-02,2.21691E-03,7.64559E-03,8.71635E-03,2.01736E-02
575,2.61157E-03,9.63242E-02,3.13360E-03,7.65602E-03,8.65841E-03,2.00172E-02
576,3.26270E-03,9.58044E-02,3.95729E-03,7.64267E-03,8.64472E-03,1.99142E-02
577,4.03674E-03,9.56271E-02,4.89474E-03,7.62734E-03,8.71564E-03,1.99012E-02
578,4.81609E-03,9.52935E-02,5.88568E-03,7.64868E-03,8.85955E-03,2.00051E-02
579,5.74165E-03,9.49102E-02,6.92072E-03,7.71445E-03,9.02707E-03,2.04199E-02
580,6.30072E-03,9.44434E-02,7.58891E-03,7.72484E-03,9.28038E-03,2.07862E-02
581,6.77065E-03,9.41646E-02,8.19133E-03,7.71730E-03,9.46283E-03,2.12813E-02
582,7.33066E-03,9.36645E-02,8.86959E-03,7.70608E-03,9.65166E-03,2.15137E-02
583,7.71474E-03,9.33183E-02,9.39626E-03,7.71890E-03,9.70530E-03,2.16663E-02
584,7.76619E-03,9.26744E-02,9.44914E-03,7.67394E-03,9.65862E-03,2.16703E-02
585,8.48987E-03,9.21370E-02,1.02655E-02,7.62813E-03,9.64340E-03,2.14766E-02
586,9.40660E-03,9.15768E-02,1.14993E-02,7.63168E-03,9.59287E-03,2.12735E-02
587,9.63068E-03,9.10121E-02,1.17201E-02,7.53818E-03,9.28590E-03,2.05046E-02
588,8.56924E-03,9.01706E-02,1.04306E-02,7.42508E-03,8.85795E-03,1.97302E-02
589,7.00483E-03,8.92384E-02,8.53486E-03,7.28811E-03,8.54989E-03,1.93349E-02
590,6.33579E-03,8.84474E-02,7.70638E-03,7.22386E-03,8.53343E-03,1.94104E-02
591,6.71265E-03,8.76950E-02,8.17976E-03,7.16255E-03,8.66342E-03,1.97442E-02
592,6.99532E-03,8.68984E-02,8.50776E-03,7.15588E-03,8.67671E-03,1.97890E-02
593,6.45369E-03,8.61279E-02,7.89688E-03,7.09089E-03,8.57341E-03,1.97419E-02
594,5.18860E-03,8.52975E-02,6.32995E-03,6.99040E-03,8.44473E-03,1.96755E-02
595,4.01118E-03,8.41331E-02,4.86990E-03,6.85035E-03,8.30854E-03,1.95741E-02
596,3.62489E-03,8.33517E-02,4.43712E-03,6.77823E-03,8.23456E-03,1.96308E-02
597,4.06052E-03,8.28260E-02,4.93477E-03,6.76411E-03,8.27897E-03,1.96151E-02
598,4.71259E-03,8.20374E-02,5.67846E-03,6.70980E-03,8.28908E-03,1.95081E-02
599,4.93341E-03,8.11437E-02,6.01145E-03,6.65968E-03,8.24447E-03,1.94008E-02
600,4.42747E-03,8.02353E-02,5.38593E-03,6.57787E-03,8.14475E-03,1.93374E-02
601,3.60221E-03,7.91068E-02,4.36966E-03,6.46581E-03,8.07509E-03,1.93203E-02
602,3.04717E-03,7.84256E-02,3.69579E-03,6.37961E-03,8.02324E-03,1.94490E-02
603,2.79969E-03,7.73415E-02,3.46489E-03,6.32682E-03,8.07043E-03,1.96109E-02
604,3.01074E-03,7.64919E-02,3.64718E-03,6.27020E-03,8.07370E-03,1.96215E-02
605,3.34658E-03,7.57481E-02,4.02483E-03,6.22123E-03,8.10357E-03,1.96613E-02
606,4.07526E-03,7.47485E-02,4.94871E-03,6.18250E-03,8.12286E-03,1.96445E-02
